"","manufacturer","model","year","average_price"
"549","buick","allure",2008,4500
"550","buick","cascada",2016,22130.2
"551","buick","cascada",2017,25990
"552","buick","cascada",2018,26325
"553","buick","cascada",2019,25080
"554","buick","century",1992,3500
"555","buick","century",1994,3495
"556","buick","century",1996,4500
"557","buick","century",1998,4138.5
"558","buick","century",1999,4409.8
"559","buick","century",2000,4100
"560","buick","century",2001,4149
"561","buick","century",2002,4196.88888888889
"562","buick","century",2003,4588.21428571429
"563","buick","century",2004,5098.5
"564","buick","century",2005,4426.54545454545
"565","buick","cxl",2006,3950
"566","buick","cxl",2008,7985
"567","buick","emcore",2014,13995
"568","buick","encalve",2014,15500
"569","buick","enclave",2008,6525.90277777778
"570","buick","enclave",2009,7949.39622641509
"571","buick","enclave",2010,8698.49090909091
"572","buick","enclave",2011,9672.5
"573","buick","enclave",2012,11545.323943662
"574","buick","enclave",2013,13123.6195652174
"575","buick","enclave",2014,15446.2878787879
"576","buick","enclave",2015,21080.6290322581
"577","buick","enclave",2016,21502.1325301205
"578","buick","enclave",2017,26197.5333333333
"579","buick","enclave",2018,30305.6470588235
"580","buick","enclave",2019,33494.652173913
"581","buick","enclave",2020,39416.0457142857
"582","buick","enclave",2021,52037.4615384615
"583","buick","encore",2010,9600
"584","buick","encore",2013,11744.72
"585","buick","encore",2014,12351.7352941176
"586","buick","encore",2015,13741.4666666667
"587","buick","encore",2016,13900.4769230769
"588","buick","encore",2017,17144.2150537634
"589","buick","encore",2018,19457.7794117647
"590","buick","encore",2019,19811.8314606742
"591","buick","encore",2020,24382.4368932039
"592","buick","encore",2021,28904.1666666667
"593","buick","enlave",2014,16995
"594","buick","envision",2016,25501
"595","buick","envision",2017,22298.8225806452
"596","buick","envision",2018,24549.24
"597","buick","envision",2019,24296.9444444444
"598","buick","envision",2020,31177.3333333333
"599","buick","envision",2021,36904
"600","buick","envlave",2008,10000
"601","buick","inc",2011,11000
"602","buick","la",2003,5995
"603","buick","la",2012,11980
"604","buick","lacross",2006,3580.71428571429
"605","buick","lacrosse",2002,5200
"606","buick","lacrosse",2003,11500
"607","buick","lacrosse",2005,5491.26315789474
"608","buick","lacrosse",2006,5022.72340425532
"609","buick","lacrosse",2007,5755.7027027027
"610","buick","lacrosse",2008,6384.9
"611","buick","lacrosse",2009,5783.1052631579
"612","buick","lacrosse",2010,7638.4054054054
"613","buick","lacrosse",2011,9578.92682926829
"614","buick","lacrosse",2012,8975.93902439024
